latitude,longitude
47.39804886,8.476431457
47.39507867,8.4853914
47.38555793,8.508711261
47.38508787,8.508391265
47.38323762,8.506081285
47.38191751,8.509311267
47.3805374,8.512611248
47.37954732,8.515841229
47.3749968,8.516851234
47.37464677,8.517321232
47.37270657,8.519661221
0,0
0,0
47.36966628,8.52566119
47.37102642,8.524001197
47.37110643,8.523711199
47.37413673,8.51924122
47.37525685,8.518621222
47.37809719,8.518921212
47.37866727,8.519451207
47.38004745,8.520711195
47.38113754,8.51809121
47.38210763,8.51612122
47.38223764,8.515981221
47.3828477,8.515371223
47.38303772,8.515011225
47.38308772,8.514461229
47.38310771,8.513881233
47.38939842,8.511421232
47.38967846,8.511701229
47.39276868,8.502371285
47.3929387,8.502321285
47.3836078,8.515721219
47.38958845,8.512041227
47.36873621,8.528841172
47.32875172,8.573321005
47.35099436,8.559901027
47.36239564,8.547301073
47.36429585,8.546171075
47.36635609,8.544971077
47.36670613,8.544711078
47.36693616,8.544551078
47.36539591,8.538811118
47.39316851,8.488911379
47.39373859,8.489591373
47.39374859,8.489781372
47.39355859,8.491221362
47.39326859,8.492891351
47.39648877,8.481611423
47.39412865,8.490691364
47.39400865,8.491461359
47.39406869,8.493291346
47.38886806,8.491381373
47.38886805,8.491211374
47.3941987,8.493231346
47.38228726,8.488051412
47.38335732,8.484101437
47.38195716,8.483631443
47.37809672,8.483201455
47.37541643,8.484601451
47.37426628,8.482661467
47.37540645,8.485611444
47.37936703,8.495341368
47.38033711,8.493631378
47.36893619,8.524881197
47.36743599,8.523271211
0,0
47.3710065,8.53134115
47.37372685,8.53331113
47.37607716,8.535761108
47.37613717,8.536071106
47.38549826,8.533191097
47.39031873,8.525361135
47.40749205,8.602950572
0,0
47.40746201,8.60003059
47.33905295,8.567271015
47.38724827,8.518931187
47.38260767,8.514551229
47.3828977,8.514651228
47.38280768,8.514211231
47.38306771,8.513941232
47.38349778,8.515381222
47.37980742,8.521221193
47.37868732,8.523181183
47.37651704,8.521601199
47.37572694,8.521051204
47.37472682,8.520491211
47.3744668,8.521511205
47.3744168,8.5223212
47.37428682,8.525121182
